date,NAV
1997-09-16,1.5279585939884044
1997-09-17,1.5270032001478338
1997-09-18,1.5317202335477111
1997-09-19,1.5365420100351046
1997-09-22,1.5429361925799303
1997-09-23,1.5372225187747748
1997-09-24,1.529899393497834
1997-09-25,1.5224691548358773
1997-09-26,1.5343616921326424
1997-09-29,1.542464720476393
1997-09-30,1.5445373695349507
1997-10-01,1.5482638421051826
1997-10-02,1.5590004289470398
1997-10-03,1.5657337682589105
1997-10-06,1.569640851384654
1997-10-07,1.5816200013746586
1997-10-08,1.5738507741509893
1997-10-09,1.5724015826776845
1997-10-10,1.5698058183465267
1997-10-13,1.5700308221593466
1997-10-14,1.568633572339166
1997-10-15,1.5598925475066534
1997-10-16,1.5451676867570583
1997-10-17,1.5266536878226211
1997-10-20,1.5382129907312465
1997-10-21,1.5630716754736238
1997-10-22,1.55880222569821
1997-10-23,1.5388928416685026
1997-10-24,1.5254301859214356
1997-10-27,1.4565601568842383
1997-10-28,1.4906868653175778
1997-10-29,1.499097504049798
1997-10-30,1.4820053646713327
1997-10-31,1.4946657372903192
1997-11-03,1.5134460930970377
1997-11-04,1.5173502291360161
1997-11-05,1.5247220974388513
1997-11-06,1.5257800580640486
1997-11-07,1.512461724397603
1997-11-10,1.5120559467385717
1997-11-11,1.5127785704655388
1997-11-12,1.4957592258341383
1997-11-13,1.4967920490072109
1997-11-14,1.5069227026839562
1997-11-17,1.5229480590131244
1997-11-18,1.5133060749349738
1997-11-19,1.5164651048507622
1997-11-20,1.534229834585951
1997-11-21,1.5374428714361215
1997-11-24,1.5251949628386539
1997-11-25,1.5267604145367626
1997-11-26,1.5293156093051876
1997-11-28,1.53378188179263
1997-12-01,1.5449623683501006
1997-12-02,1.542593943261117
1997-12-03,1.5466822241998652
1997-12-04,1.5489431760732155
1997-12-05,1.5508474214314492
1997-12-08,1.5527641057472827
1997-12-09,1.547998703729664
1997-12-10,1.5422582695210953
1997-12-11,1.5258111658170883
1997-12-12,1.526473496762547
1997-12-15,1.5316327828248313
1997-12-16,1.534724682462159
1997-12-17,1.533105005804043
1997-12-18,1.5233657079969005
1997-12-19,1.5184560047484548
1997-12-22,1.5237150328684612
1997-12-23,1.520970414914476
1997-12-24,1.5164116233501026
1997-12-26,1.5186646608017464
1997-12-29,1.5349069416140149
1997-12-30,1.5554609323994129
1997-12-31,1.560951095099878
1998-01-02,1.5545798934636894
1998-01-05,1.559591569372277
1998-01-06,1.5532627182193883
1998-01-07,1.5478049441527262
1998-01-08,1.5415078826763402
1998-01-09,1.5107138514145233
1998-01-12,1.51584357953356
1998-01-13,1.5321525236200062
1998-01-14,1.5369451051560385
1998-01-15,1.5321398960983421
1998-01-16,1.5425025150271465
1998-01-20,1.555350341651391
1998-01-21,1.5529332197228205
1998-01-22,1.5426532740539627
1998-01-23,1.5370169530550328
1998-01-26,1.5356741940440999
1998-01-27,1.5383585031555322
1998-01-28,1.5526592169837603
1998-01-29,1.5586472684049624
1998-01-30,1.5546798107447206
1998-02-02,1.5776262267992087
1998-02-03,1.5843747204017116
1998-02-04,1.5879840424001115
1998-02-05,1.5904711068875224
1998-02-06,1.6005245937443286
1998-02-09,1.6031459099146501
1998-02-10,1.616030269458527
1998-02-11,1.619504938790245
1998-02-12,1.6220409883246716
1998-02-13,1.6192371019968095
1998-02-17,1.6248536974969305
1998-02-18,1.630154536304499
1998-02-19,1.6237387752787795
1998-02-20,1.6307953817175365
1998-02-23,1.6363237845075091
1998-02-24,1.6266913047763167
1998-02-25,1.6439411772429062
1998-02-26,1.6539023554411738
1998-02-27,1.6517369599405116
1998-03-02,1.6540889928851492
1998-03-03,1.6577678967176739
1998-03-04,1.6561212485166374
1998-03-05,1.6448546122430867
1998-03-06,1.6689790314762147
1998-03-09,1.6587445127757758
1998-03-10,1.6772662512663747
1998-03-11,1.6835271195803025
1998-03-12,1.6900197189540307
1998-03-13,1.6911280392501036
1998-03-16,1.7042927807212436
