index,SPX Index_PX_OPEN,SPX Index_PX_HIGH,SPX Index_PX_LOW,SPX Index_PX_LAST,SPX Index_PX_VOLUME,return,momentum_5d,momentum_21d,ma_21d,ma_50d,volatility_21d,rsi_14
2/24/2025,6026.69,6043.65,5977.83,5983.25,891522943,-0.004969126,-0.021486173,-0.022138653,6063.807619,6008.5074,0.007396114,48.97644122
2/25/2025,5982.73,5992.65,5908.49,5955.25,906140612,-0.004679731,-0.028440774,-0.023927923,6056.855714,6006.9142,0.007429154,40.80497446
2/26/2025,5970.87,6009.82,5932.69,5956.06,779258458,0.000136014,-0.030612859,-0.009350862,6054.178571,6004.3516,0.006760569,37.58655781
2/27/2025,5981.88,5993.69,5858.78,5861.57,890166940,-0.015864514,-0.04183885,-0.033971686,6044.362857,6000.558,0.007174677,27.49271119
2/28/2025,5856.74,5959.4,5837.66,5954.5,1534550840,0.015854114,-0.00975033,-0.014042995,6040.324286,5998.6262,0.008079063,43.51296919
3/3/2025,5968.33,5986.09,5810.91,5849.72,1001788828,-0.017596776,-0.022317302,-0.036475671,6029.779048,5994.139,0.008754879,31.93494201
3/4/2025,5811.98,5865.08,5732.59,5778.15,1132335783,-0.012234774,-0.029738466,-0.043436586,6017.284762,5988.6898,0.009027262,28.19925777
3/5/2025,5781.36,5860.59,5742.35,5842.63,885233027,0.011159281,-0.019044469,-0.025346272,6010.049524,5988.0992,0.009374236,35.56470782
3/6/2025,5785.87,5812.08,5711.64,5738.52,935953630,-0.01781903,-0.020992669,-0.049580316,5995.794286,5985.528,0.009833321,25.25272945
3/7/2025,5726.01,5783.01,5666.29,5770.2,978947144,0.005520587,-0.030951381,-0.048054271,5981.92381,5982.315,0.009890925,28.39133324
3/10/2025,5705.37,5705.37,5564.02,5614.56,1154868778,-0.026973069,-0.040200215,-0.077094535,5959.59,5975.1248,0.011148233,22.3824723
3/11/2025,5603.65,5636.3,5528.41,5572.07,1087877068,-0.007567824,-0.035665395,-0.075327042,5937.974762,5965.7654,0.011107251,20.19494413
3/12/2025,5624.84,5642.19,5546.09,5599.3,923094030,0.004886873,-0.04164734,-0.077003976,5915.73,5956.9996,0.011028845,23.1367202
3/13/2025,5594.45,5597.78,5504.65,5521.52,864636625,-0.013891022,-0.037814628,-0.0901343,5889.683333,5948.0132,0.011200837,23.59800487
3/14/2025,5563.85,5645.27,5563.85,5638.94,833668649,0.021265883,-0.022747912,-0.068247199,5870.015238,5942.6532,0.012528037,33.52688723
3/17/2025,5635.6,5703.52,5631.12,5675.12,807028111,0.006416099,0.010786241,-0.071945211,5849.065238,5938.523,0.012337695,36.81944631
3/18/2025,5654.53,5654.53,5597.76,5614.66,780068528,-0.010653519,0.007643479,-0.08176619,5825.257143,5933.4452,0.012407583,34.68389511
3/19/2025,5632.37,5715.33,5622.2,5675.29,910411354,0.010798517,0.013571339,-0.074114377,5803.624286,5928.1016,0.012752979,41.55850255
3/20/2025,5646.92,5711.15,5632.33,5662.89,916007445,-0.00218491,0.025603457,-0.078328166,5780.707143,5921.8518,0.012685062,35.53760636
3/21/2025,5630.73,5670.84,5603.1,5667.56,3305469077,0.000824667,0.005075422,-0.073552681,5759.280476,5917.0224,0.012724088,39.99571997
3/24/2025,5718.08,5775.14,5718.08,5767.57,907946412,0.017646042,0.016290404,-0.040837301,5747.587143,5914.0088,0.013129364,49.81871909
3/25/2025,5775.96,5786.95,5760.42,5776.65,802316633,0.00157432,0.028851257,-0.034529729,5737.749048,5913.001,0.013130561,46.56930716
3/26/2025,5771.66,5783.62,5694.41,5712.2,782332691,-0.011156985,0.006503632,-0.040812728,5726.175238,5910.5206,0.01328198,48.76403061
3/27/2025,5695.64,5732.28,5670.94,5693.31,739066064,-0.003306957,0.005371815,-0.044114734,5713.663333,5907.5286,0.013276865,45.57233991
3/28/2025,5679.2,5685.89,5572.42,5580.94,788793531,-0.0197372,-0.015283473,-0.047876252,5700.3,5900.1492,0.013503132,48.07217613
3/31/2025,5527.91,5627.56,5488.73,5611.85,1182497327,0.005538494,-0.026999239,-0.057544714,5683.983333,5893.6394,0.012989609,53.08754567
4/1/2025,5597.53,5650.57,5558.52,5633.07,745462017,0.003781284,-0.024855236,-0.037035961,5673.666667,5886.3676,0.012598691,52.68478479
